date_year,address,n_events,lat,long
2023,"AT&T Stadium, Arlington, United States",3,32.74977,-97.09246
2023,"Acrisure Stadium, Pittsburgh, United States",2,40.44684,-80.01577
2023,"Allegiant Stadium, Paradise, United States",2,36.09073,-115.18353
2023,"Allianz Parque, Sao Paulo, Brazil",3,-23.52735,-46.67855
2023,"Empower Field at Mile High, Denver, United States",2,39.74393,-105.02011
2023,"Estadio Olímpico Nilton Santos, Rio de Janeiro, Brazil",3,-23.002824609728,-43.343065314264
2023,"Estadio River Plate, Buenos Aires, Argentina",3,-34.9123,-57.99437
2023,"Ford Field, Detroit, United States",2,42.33988,-83.04559
2023,"Foro Sol, Mexico City, Mexico",4,19.40505,-99.09729
2023,"GEHA Field at Arrowhead Stadium, Kansas City, United States",2,39.04895,-94.48398
2023,"Gillette Stadium, Foxborough, United States",3,42.09538,-71.26561
2023,"Levi's Stadium, Santa Clara, United States",2,37.40319,-121.96977
2023,"Lincoln Financial Field, Philadelphia, United States",3,39.90084,-75.16755
2023,"Lumen Field, Seattle, United States",2,47.5979,-122.33162
2023,"Mercedes-Benz Stadium, Atlanta, United States",3,33.75544,-84.40079
2023,"MetLife Stadium, East Rutherford, United States",3,40.81352,-74.07438
2023,"NRG Stadium, Houston, United States",3,29.68484,-95.41077
2023,"Nissan Stadium, Nashville, United States",3,36.16655,-86.77123
2023,"Paycor Stadium, Cincinnati, United States",2,39.09632,-84.51494
2023,"Raymond James Stadium, Tampa, United States",3,27.97599,-82.50333
2023,"SoFi Stadium, Inglewood, United States",6,33.95417,-118.34346
2023,"Soldier Field, Chicago, United States",3,41.86234,-87.61667
2023,"State Farm Stadium, Glendale, United States",2,33.52882,-112.26399
2023,"U.S. Bank Stadium, Minneapolis, United States",2,44.97355,-93.25745
2024,"Accor Stadium, Sydney, Australia",4,-33.84649,151.06068
2024,"Anfield Stadium, Liverpool, United Kingdom",3,53.432262037,-2.953929186
2024,"Aviva Stadium, Dublin, Ireland",3,53.33479,-6.22964
2024,"BC Place, Vancouver, Canada",3,49.27676,-123.11189
2024,"BT Murrayfield Stadium, Edinburgh, United Kingdom",3,55.94227,-3.2411
2024,"Caesars Superdome, New Orleans, United States",3,29.95076,-90.08146
2024,"Ernst Happel Stadion, Vienna, Austria",3,48.2072,16.4209
2024,"Estadio Santiago Bernabéu, Madrid, Spain",1,40.4542,-3.68746
2024,"Estádio da Luz, Lisbon, Portugal",2,38.75305,-9.18396
2024,"Friends Arena, Solna, Sweden",3,59.37278,18.00029
2024,"Groupama Stadium, Décines-Charpieu, France",2,45.76521,4.98197
2024,"Hard Rock Stadium, Miami Gardens, United States",3,25.95789,-80.2388
2024,"Johan Cruyff Arena, Amsterdam, Netherlands",3,52.31415,4.94199
2024,"Lucas Oil Stadium, Indianapolis, United States",3,39.76008,-86.16375
2024,"Melbourne Cricket Ground, Melbourne, Australia",3,-37.81787,144.98312
2024,"Olympiastadion, Munich, Germany",2,48.17277,11.54465
2024,"PGE Narodowy, Warsaw, Poland",3,52.2395,21.04593
2024,"Paris La Défense Arena, Nanterre, France",4,48.8957,2.22964
2024,"Principality Stadium, Cardiff, United Kingdom",1,51.47833,-3.18272
2024,"Rogers Centre, Toronto, Canada",6,43.64234,-79.39089
2024,"San Siro, Milan, Italy",2,45.47144,9.13836
2024,"Singapore National Stadium, Singapore, Singapore",6,1.304698172633,103.873562563152
2024,"Stadion Letzigrund, Zurich, Switzerland",2,47.38323,8.50369
2024,"Tokyo Dome, Tokyo, Japan",4,35.705641991,139.751890752
2024,"Veltins-Arena, Gelsenkirchen, Germany",3,51.55465,7.06748
2024,"Volksparkstadion, Hamburg, Germany",2,53.58726,9.89863
2024,"Wembley Stadium, London, United Kingdom",8,51.55692998056,-0.284369691469
