fecha_concierto,ciudad,pais,recinto,continente
17 de marzo de 2023,Glendale,Estados Unidos,State Farm Stadium,América del Norte
18 de marzo de 2023,Glendale,Estados Unidos,State Farm Stadium,América del Norte
24 de marzo de 2023,Paradise​,Estados Unidos,Allegiant Stadium,América del Norte
25 de marzo de 2023,Paradise​,Estados Unidos,Allegiant Stadium,América del Norte
31 de marzo de 2023,Arlington,Estados Unidos,AT&T Stadium,América del Norte
1 de abril de 2023,Arlington,Estados Unidos,AT&T Stadium,América del Norte
2 de abril de 2023,Arlington,Estados Unidos,AT&T Stadium,América del Norte
13 de abril de 2023,Tampa,Estados Unidos,Raymond James Stadium,América del Norte
14 de abril de 2023,Tampa,Estados Unidos,Raymond James Stadium,América del Norte
15 de abril de 2023,Tampa,Estados Unidos,Raymond James Stadium,América del Norte
21 de abril de 2023,Houston,Estados Unidos,NRG Stadium,América del Norte
22 de abril de 2023,Houston,Estados Unidos,NRG Stadium,América del Norte
23 de abril de 2023,Houston,Estados Unidos,NRG Stadium,América del Norte
28 de abril de 2023,Atlanta,Estados Unidos,Mercedes-Benz Stadium,América del Norte
29 de abril de 2023,Atlanta,Estados Unidos,Mercedes-Benz Stadium,América del Norte
30 de abril de 2023,Atlanta,Estados Unidos,Mercedes-Benz Stadium,América del Norte
5 de mayo de 2023,Nashville,Estados Unidos,Nissan Stadium,América del Norte
6 de mayo de 2023,Nashville,Estados Unidos,Nissan Stadium,América del Norte
7 de mayo de 2023,Nashville,Estados Unidos,Nissan Stadium,América del Norte
12 de mayo de 2023,Filadelfia,Estados Unidos,Lincoln Financial Field,América del Norte
13 de mayo de 2023,Filadelfia,Estados Unidos,Lincoln Financial Field,América del Norte
14 de mayo de 2023,Filadelfia,Estados Unidos,Lincoln Financial Field,América del Norte
19 de mayo de 2023,Foxborough,Estados Unidos,Gillette Stadium,América del Norte
20 de mayo de 2023,Foxborough,Estados Unidos,Gillette Stadium,América del Norte
21 de mayo de 2023,Foxborough,Estados Unidos,Gillette Stadium,América del Norte
26 de mayo de 2023,East Rutherford,Estados Unidos,MetLife Stadium,América del Norte
27 de mayo de 2023,East Rutherford,Estados Unidos,MetLife Stadium,América del Norte
28 de mayo de 2023,East Rutherford,Estados Unidos,MetLife Stadium,América del Norte
2 de junio de 2023,Chicago,Estados Unidos,Soldier Field,América del Norte
3 de junio de 2023,Chicago,Estados Unidos,Soldier Field,América del Norte
4 de junio de 2023,Chicago,Estados Unidos,Soldier Field,América del Norte
9 de junio de 2023,Detroit,Estados Unidos,Ford Field,América del Norte
10 de junio de 2023,Detroit,Estados Unidos,Ford Field,América del Norte
16 de junio de 2023,Pittsburgh,Estados Unidos,Acrisure Stadium,América del Norte
17 de junio de 2023,Pittsburgh,Estados Unidos,Acrisure Stadium,América del Norte
23 de junio de 2023,Mineápolis,Estados Unidos,U.S. Bank Stadium,América del Norte
24 de junio de 2023,Mineápolis,Estados Unidos,U.S. Bank Stadium,América del Norte
30 de junio de 2023,Cincinnati,Estados Unidos,Paycor Stadium,América del Norte
1 de julio de 2023,Cincinnati,Estados Unidos,Paycor Stadium,América del Norte
7 de julio de 2023,Kansas City,Estados Unidos,GEHA Field at Arrowhead Stadium,América del Norte
8 de julio de 2023,Kansas City,Estados Unidos,GEHA Field at Arrowhead Stadium,América del Norte
14 de julio de 2023,Denver,Estados Unidos,Empower Field at Mile High,América del Norte
15 de julio de 2023,Denver,Estados Unidos,Empower Field at Mile High,América del Norte
22 de julio de 2023,Seattle,Estados Unidos,Lumen Field,América del Norte
23 de julio de 2023,Seattle,Estados Unidos,Lumen Field,América del Norte
28 de julio de 2023,Santa Clara,Estados Unidos,Levi's Stadium,América del Norte
29 de julio de 2023,Santa Clara,Estados Unidos,Levi's Stadium,América del Norte
3 de agosto de 2023,Inglewood​,Estados Unidos,SoFi Stadium,América del Norte
4 de agosto de 2023,Inglewood​,Estados Unidos,SoFi Stadium,América del Norte
5 de agosto de 2023,Inglewood​,Estados Unidos,SoFi Stadium,América del Norte
7 de agosto de 2023,Inglewood​,Estados Unidos,SoFi Stadium,América del Norte
8 de agosto de 2023,Inglewood​,Estados Unidos,SoFi Stadium,América del Norte
9 de agosto de 2023,Inglewood​,Estados Unidos,SoFi Stadium,América del Norte
24 de agosto de 2023,Ciudad de México,México,Foro Sol,América Latina
25 de agosto de 2023,Ciudad de México,México,Foro Sol,América Latina
26 de agosto de 2023,Ciudad de México,México,Foro Sol,América Latina
27 de agosto de 2023,Ciudad de México,México,Foro Sol,América Latina
9 de noviembre de 2023,Buenos Aires,Argentina,Estadio River Plate,América Latina
11 de noviembre de 2023,Buenos Aires,Argentina,Estadio River Plate,América Latina
12 de noviembre de 2023​,Buenos Aires,Argentina,Estadio River Plate,América Latina
17 de noviembre de 2023,Río de Janeiro,Brasil,Estadio Olímpico Nilton Santos,América Latina
18 de noviembre de 2023,Río de Janeiro,Brasil,Estadio Olímpico Nilton Santos,América Latina
19 de noviembre de 2023,Río de Janeiro,Brasil,Estadio Olímpico Nilton Santos,América Latina
24 de noviembre de 2023,São Paulo,Brasil,Allianz Parque,América Latina
25 de noviembre de 2023,São Paulo,Brasil,Allianz Parque,América Latina
26 de noviembre de 2023,São Paulo,Brasil,Allianz Parque,América Latina
7 de febrero de 2024,Tokio,Japón,Tokyo Dome,Asia y Oceanía
8 de febrero de 2024,Tokio,Japón,Tokyo Dome,Asia y Oceanía
9 de febrero de 2024,Tokio,Japón,Tokyo Dome,Asia y Oceanía
10 de febrero de 2024,Tokio,Japón,Tokyo Dome,Asia y Oceanía
16 de febrero de 2024,Melbourne,Australia,Melbourne Cricket Ground,Asia y Oceanía
17 de febrero de 2024,Melbourne,Australia,Melbourne Cricket Ground,Asia y Oceanía
18 de febrero de 2024,Melbourne,Australia,Melbourne Cricket Ground,Asia y Oceanía
23 de febrero de 2024,Sídney,Australia,Accor Stadium,Asia y Oceanía
24 de febrero de 2024,Sídney,Australia,Accor Stadium,Asia y Oceanía
25 de febrero de 2024,Sídney,Australia,Accor Stadium,Asia y Oceanía
26 de febrero de 2024,Sídney,Australia,Accor Stadium,Asia y Oceanía
2 de marzo de 2024,Singapur,Singapur,Singapore National Stadium,Asia y Oceanía
