from,to,n_vuelos
ACAPULCO,CANCUN, 9 
ACAPULCO,GUADALAJARA, 9 
ACAPULCO,MEXICO, 257 
ACAPULCO,MONTERREY, 10 
ACAPULCO,PUEBLA, - 
ACAPULCO,TIJUANA, 31 
AGUASCALIENTES,CANCUN, 31 
AGUASCALIENTES,MEXICO, 165 
AGUASCALIENTES,MONTERREY, 32 
AGUASCALIENTES,PUERTO VALLARTA, 32 
AGUASCALIENTES,QUERETARO, - 
AGUASCALIENTES,TIJUANA, 68 
CAMPECHE,MEXICO, 63 
CANCUN,ACAPULCO, 9 
CANCUN,AGUASCALIENTES, 31 
CANCUN,CHIHUAHUA, 28 
CANCUN,CIUDAD JUAREZ, 35 
CANCUN,CULIACAN, - 
CANCUN,DEL BAJIO, 75 
CANCUN,GUADALAJARA, 286 
CANCUN,MERIDA, 17 
CANCUN,MEXICALI, 18 
CANCUN,MEXICO," 1,144 "
CANCUN,MONTERREY, 317 
CANCUN,MORELIA, - 
CANCUN,OAXACA, 16 
CANCUN,PUEBLA, 71 
CANCUN,QUERETARO, 44 
CANCUN,REYNOSA, 18 
CANCUN,SAN LUIS POTOSI, 36 
CANCUN,SANTA LUCÍA, - 
CANCUN,TAMPICO, 10 
CANCUN,TIJUANA, 80 
CANCUN,TORREON, 9 
CANCUN,TUXTLA GUTIERREZ, 40 
CANCUN,VERACRUZ, 62 
CANCUN,VILLAHERMOSA, 27 
CHETUMAL,GUADALAJARA, 18 
CHETUMAL,MEXICO, 123 
CHIHUAHUA,CANCUN, 28 
CHIHUAHUA,CIUDAD JUAREZ, 16 
CHIHUAHUA,CULIACAN, 30 
CHIHUAHUA,GUADALAJARA, 54 
CHIHUAHUA,HERMOSILLO, 20 
CHIHUAHUA,LOS MOCHIS, 14 
CHIHUAHUA,MAZATLAN, 9 
CHIHUAHUA,MEXICO, 260 
CHIHUAHUA,MONTERREY, 44 
CHIHUAHUA,QUERETARO, 12 
CHIHUAHUA,SAN LUIS POTOSI, - 
CHIHUAHUA,TIJUANA, 32 
CIUDAD DEL CARMEN,MEXICO, 92 
CIUDAD DEL CARMEN,QUERETARO, 1 
CIUDAD DEL CARMEN,TAMPICO, 16 
CIUDAD DEL CARMEN,VERACRUZ, 14 
CIUDAD JUAREZ,CANCUN, 35 
CIUDAD JUAREZ,CHIHUAHUA, 16 
CIUDAD JUAREZ,DEL BAJIO, 31 
CIUDAD JUAREZ,DURANGO, 16 
CIUDAD JUAREZ,GUADALAJARA, 83 
CIUDAD JUAREZ,HERMOSILLO, 13 
CIUDAD JUAREZ,MAZATLAN, 17 
CIUDAD JUAREZ,MEXICO, 220 
CIUDAD JUAREZ,MONTERREY, 46 
