point_A,point_B,n_vuelos
Acapulco,Cancun,18.0
Acapulco,Guadalajara,18.0
Acapulco,Mexico,513.0
Acapulco,Monterrey,20.0
Acapulco,Tijuana,62.0
Aguascalientes,Cancun,62.0
Aguascalientes,Mexico,331.0
Aguascalientes,Monterrey,61.0
Aguascalientes,Puerto Vallarta,64.0
Aguascalientes,Tijuana,136.0
Campeche,Mexico,126.0
Cancun,Chihuahua,56.0
Cancun,Ciudad Juarez,70.0
Cancun,Del Bajio,150.0
Cancun,Guadalajara,574.0
Cancun,Merida,33.0
Cancun,Mexicali,36.0
Cancun,Mexico,2287.0
Cancun,Monterrey,632.0
Cancun,Oaxaca,32.0
Cancun,Puebla,142.0
Cancun,Queretaro,89.0
Cancun,Reynosa,36.0
Cancun,San Luis Potosi,72.0
Cancun,Tampico,20.0
Cancun,Tijuana,159.0
Cancun,Torreon,18.0
Cancun,Tuxtla Gutierrez,80.0
Cancun,Veracruz,124.0
Cancun,Villahermosa,55.0
Chetumal,Guadalajara,36.0
Chetumal,Mexico,246.0
Chihuahua,Ciudad Juarez,32.0
Chihuahua,Culiacan,59.0
Chihuahua,Guadalajara,109.0
Chihuahua,Hermosillo,42.0
Chihuahua,Los Mochis,28.0
Chihuahua,Mazatlan,18.0
Chihuahua,Mexico,520.0
Chihuahua,Monterrey,88.0
Chihuahua,Queretaro,23.0
Chihuahua,Tijuana,63.0
Ciudad Del Carmen,Mexico,184.0
Ciudad Del Carmen,Queretaro,1.0
Ciudad Del Carmen,Tampico,33.0
Ciudad Del Carmen,Veracruz,28.0
Ciudad Juarez,Del Bajio,62.0
Ciudad Juarez,Durango,32.0
Ciudad Juarez,Guadalajara,167.0
Ciudad Juarez,Hermosillo,26.0
Ciudad Juarez,Mazatlan,34.0
Ciudad Juarez,Mexico,441.0
Ciudad Juarez,Monterrey,92.0
Ciudad Juarez,Puerto Vallarta,18.0
Ciudad Juarez,San Luis Potosi,2.0
Ciudad Juarez,Tijuana,62.0
Ciudad Juarez,Torreon,32.0
Ciudad Obregon,Guadalajara,54.0
Ciudad Obregon,Los Cabos,2.0
Ciudad Obregon,Mexico,158.0
Ciudad Obregon,Monterrey,20.0
Ciudad Obregon,Tijuana,72.0
Ciudad Victoria,Mexico,25.0
Colima,Mexico,77.0
Colima,Tijuana,78.0
Cozumel,Mexico,122.0
Culiacan,Guadalajara,164.0
Culiacan,Hermosillo,70.0
Culiacan,La Paz,81.0
Culiacan,Mexicali,56.0
Culiacan,Mexico,381.0
Culiacan,Monterrey,85.0
Culiacan,San José Del Cabo,74.0
Culiacan,San Luis Potosi,38.0
Culiacan,Tijuana,444.0
Del Bajio,Mexicali,18.0
Del Bajio,Mexico,327.0
Del Bajio,Monterrey,124.0
Del Bajio,Puerto Vallarta,18.0
Del Bajio,San José Del Cabo,18.0
Del Bajio,Tijuana,341.0
