,latitude,longitude,confidence,satellite,acq_date,daynight
0,35.05516,137.07443,51,T,2023-11-08,D
1,35.32369,135.29405,64,T,2023-11-08,D
2,35.02819,136.87595,52,T,2023-11-08,D
3,34.7304,138.06792,62,T,2023-11-08,D
4,34.75162,135.42981,66,T,2023-11-08,D
5,33.69702,132.87115,54,T,2023-11-08,D
6,33.26186,131.64189,54,T,2023-11-08,D
7,40.73536,112.00914,69,T,2023-11-08,D
8,39.39581,112.78573,63,T,2023-11-08,D
9,39.38462,112.53352,70,T,2023-11-08,D
10,39.25881,110.17236,61,T,2023-11-08,D
11,35.28596,110.79701,64,T,2023-11-08,D
12,35.28403,110.80882,61,T,2023-11-08,D
13,34.78109,110.75386,52,T,2023-11-08,D
14,34.73629,110.57894,75,T,2023-11-08,D
15,35.1878,107.1739,51,T,2023-11-08,D
16,26.62222,101.60255,77,T,2023-11-08,D
17,17.2069,102.98236,64,T,2023-11-08,D
18,15.24374,105.23563,58,T,2023-11-08,D
19,11.49566,104.63093,80,T,2023-11-08,D
20,11.48643,104.62952,68,T,2023-11-08,D
21,11.13121,106.6068,56,T,2023-11-08,D
22,10.75865,106.31136,61,T,2023-11-08,D
23,10.76091,103.80167,72,T,2023-11-08,D
24,41.28111,85.97846,52,T,2023-11-08,D
25,29.04554,82.01628,58,T,2023-11-08,D
26,29.04411,82.0262,70,T,2023-11-08,D
27,27.13054,84.29162,75,T,2023-11-08,D
28,27.12867,84.30296,82,T,2023-11-08,D
29,27.12112,84.28972,67,T,2023-11-08,D
30,27.11925,84.30106,73,T,2023-11-08,D
31,25.86809,78.69985,63,T,2023-11-08,D
32,25.7268,76.56253,61,T,2023-11-08,D
33,25.72511,76.57768,54,T,2023-11-08,D
34,25.58976,76.67571,87,T,2023-11-08,D
35,25.58813,76.69049,84,T,2023-11-08,D
36,25.58521,76.68325,80,T,2023-11-08,D
37,25.48445,76.57317,52,T,2023-11-08,D
38,25.47931,76.61799,75,T,2023-11-08,D
39,25.37393,76.97245,72,T,2023-11-08,D
40,25.369,76.96513,68,T,2023-11-08,D
41,23.76121,86.39662,60,T,2023-11-08,D
42,24.31085,77.46003,74,T,2023-11-08,D
43,44.26889,87.74612,54,T,2023-11-08,D
44,41.81702,88.90267,59,T,2023-11-08,D
45,41.80634,84.20391,51,T,2023-11-08,D
46,22.21157,84.87534,67,T,2023-11-08,D
47,22.91893,79.16898,80,T,2023-11-08,D
48,22.04612,83.73088,68,T,2023-11-08,D
49,22.04414,83.74284,56,T,2023-11-08,D
50,22.41874,80.18171,57,T,2023-11-08,D
51,21.92417,83.34735,69,T,2023-11-08,D
52,21.9223,83.35879,66,T,2023-11-08,D
53,22.41793,79.66457,70,T,2023-11-08,D
54,22.6914,77.53896,59,T,2023-11-08,D
55,22.35871,79.89174,71,T,2023-11-08,D
56,22.33085,79.82229,70,T,2023-11-08,D
57,22.37226,79.46241,52,T,2023-11-08,D
58,22.30068,79.77817,62,T,2023-11-08,D
59,22.27341,79.84266,71,T,2023-11-08,D
60,22.49314,77.49833,53,T,2023-11-08,D
61,21.87617,81.66508,54,T,2023-11-08,D
62,21.86523,81.3735,73,T,2023-11-08,D
63,20.96725,85.1668,56,T,2023-11-08,D
64,20.96458,85.18199,67,T,2023-11-08,D
65,20.78813,85.26259,68,T,2023-11-08,D
66,21.11898,82.48491,65,T,2023-11-08,D
67,21.76711,77.88895,66,T,2023-11-08,D
68,15.65418,78.4894,60,T,2023-11-08,D
69,15.17187,76.6581,52,T,2023-11-08,D
70,15.17048,76.66847,54,T,2023-11-08,D
72,32.13032,119.59325,73,A,2023-11-08,D
73,32.58589,119.85654,59,A,2023-11-08,D
74,32.89418,119.54089,69,A,2023-11-08,D
75,32.88362,119.47865,59,A,2023-11-08,D
76,34.31398,119.20773,75,A,2023-11-08,D
77,32.23347,51.43152,73,T,2023-11-08,D
78,32.35639,47.69027,61,T,2023-11-08,D
79,31.67978,47.43505,59,T,2023-11-08,D
80,31.65063,47.50519,64,T,2023-11-08,D
81,31.02238,47.25489,63,T,2023-11-08,D
