nombre_estado,km2
Chihuahua,247938.00
Sonora,182052.00
Coahuila,151571.00
Durango,123181.00
Oaxaca,93952.00
Jalisco,80386.00
Tamaulipas,79384.00
Chiapas,74211.00
Baja California Sur,73475.00
Zacatecas,73252.00
Veracruz,71699.00
Baja California,69921.00
Nuevo León,64924.00
Guerrero,64281.00
San Luis Potosí,63068.00
Michoacán,59928.00
Sinaloa,58328.00
Campeche,50812.00
Quintana Roo,50212.00
Yucatán,38402.00
Puebla,33902.00
Guanajuato,30491.00
Nayarit,26979.00
Tabasco,25267.00
Estado de México,21355.00
Hidalgo,20813.00
Querétaro,11499.00
Aguascalientes,5471.00
Colima,5191.00
Morelos,4950.00
Tlaxcala,4016.00
"CDMX, Ciudad de México",1479.00
