city,country,n_vuelos,lat,long,description
Austin,United States,1,30.26759,-97.74299,Se realizaron 1 vuelos entre los aeropuertos de Acapulco (Mexico) y Austin (United States) en Enero 2022
Dallas-Fort Worth,United States,18,32.737847021272,-97.236200260969,Se realizaron 18 vuelos entre los aeropuertos de Acapulco (Mexico) y Dallas-Fort Worth (United States) en Enero 2022
Houston,United States,60,29.76078,-95.36952,Se realizaron 60 vuelos entre los aeropuertos de Acapulco (Mexico) y Houston (United States) en Enero 2022
Montreal,Canada,9,45.508867,-73.554242,Se realizaron 9 vuelos entre los aeropuertos de Acapulco (Mexico) y Montreal (Canada) en Enero 2022
Toronto,Canada,6,43.653524,-79.383907,Se realizaron 6 vuelos entre los aeropuertos de Acapulco (Mexico) y Toronto (Canada) en Enero 2022
Chicago,United States,30,41.88425,-87.63245,Se realizaron 30 vuelos entre los aeropuertos de Aguascalientes (Mexico) y Chicago (United States) en Enero 2022
Dallas-Fort Worth,United States,124,32.737847021272,-97.236200260969,Se realizaron 124 vuelos entre los aeropuertos de Aguascalientes (Mexico) y Dallas-Fort Worth (United States) en Enero 2022
Houston,United States,124,29.76078,-95.36952,Se realizaron 124 vuelos entre los aeropuertos de Aguascalientes (Mexico) y Houston (United States) en Enero 2022
Los Angeles,United States,28,34.05357,-118.24545,Se realizaron 28 vuelos entre los aeropuertos de Aguascalientes (Mexico) y Los Angeles (United States) en Enero 2022
Charlotte,United States,162,35.22286,-80.83796,Se realizaron 162 vuelos entre los aeropuertos de Cancun (Mexico) y Charlotte (United States) en Enero 2022
Chicago,United States,660,41.88425,-87.63245,Se realizaron 660 vuelos entre los aeropuertos de Cancun (Mexico) y Chicago (United States) en Enero 2022
Cleveland,United States,57,41.50473,-81.69074,Se realizaron 57 vuelos entre los aeropuertos de Cancun (Mexico) y Cleveland (United States) en Enero 2022
Columbus,United States,11,39.96199,-83.00275,Se realizaron 11 vuelos entre los aeropuertos de Cancun (Mexico) y Columbus (United States) en Enero 2022
Covington,United States,18,39.08398,-84.51027,Se realizaron 18 vuelos entre los aeropuertos de Cancun (Mexico) y Covington (United States) en Enero 2022
Dallas-Fort Worth,United States,557,32.737847021272,-97.236200260969,Se realizaron 557 vuelos entre los aeropuertos de Cancun (Mexico) y Dallas-Fort Worth (United States) en Enero 2022
Denver,United States,450,39.74001,-104.99202,Se realizaron 450 vuelos entre los aeropuertos de Cancun (Mexico) y Denver (United States) en Enero 2022
Detroit,United States,198,42.33168,-83.048,Se realizaron 198 vuelos entre los aeropuertos de Cancun (Mexico) y Detroit (United States) en Enero 2022
Edmonton,Canada,70,53.54545,-113.49014,Se realizaron 70 vuelos entre los aeropuertos de Cancun (Mexico) y Edmonton (Canada) en Enero 2022
Estambul (Arnavutkoy),Turkey,58,41.1856,28.74149,Se realizaron 58 vuelos entre los aeropuertos de Cancun (Mexico) y Estambul (Arnavutkoy) (Turkey) en Enero 2022
Flores,Guatemala,59,16.92258,-89.89941,Se realizaron 59 vuelos entre los aeropuertos de Cancun (Mexico) y Flores (Guatemala) en Enero 2022
Fort Lauderdale,United States,248,26.12401,-80.14357,Se realizaron 248 vuelos entre los aeropuertos de Cancun (Mexico) y Fort Lauderdale (United States) en Enero 2022
Frankfurt,Germany,118,50.11208,8.68341,Se realizaron 118 vuelos entre los aeropuertos de Cancun (Mexico) y Frankfurt (Germany) en Enero 2022
Guatemala,Guatemala,124,14.63325,-90.4671,Se realizaron 124 vuelos entre los aeropuertos de Cancun (Mexico) y Guatemala (Guatemala) en Enero 2022
Halifax,Canada,1,44.648881,-63.575312,Se realizaron 1 vuelos entre los aeropuertos de Cancun (Mexico) y Halifax (Canada) en Enero 2022
Hamilton,Canada,16,43.25549,-79.873376,Se realizaron 16 vuelos entre los aeropuertos de Cancun (Mexico) y Hamilton (Canada) en Enero 2022
Hartford/Springfield,United States,26,42.094049376034,-72.5350926868,Se realizaron 26 vuelos entre los aeropuertos de Cancun (Mexico) y Hartford/Springfield (United States) en Enero 2022
Houston,United States,625,29.76078,-95.36952,Se realizaron 625 vuelos entre los aeropuertos de Cancun (Mexico) y Houston (United States) en Enero 2022
Indianapolis,United States,24,39.76691,-86.15012,Se realizaron 24 vuelos entre los aeropuertos de Cancun (Mexico) y Indianapolis (United States) en Enero 2022
Kansas City,United States,36,39.11352,-94.62682,Se realizaron 36 vuelos entre los aeropuertos de Cancun (Mexico) y Kansas City (United States) en Enero 2022
Kelowna,Canada,6,49.888018,-119.495451,Se realizaron 6 vuelos entre los aeropuertos de Cancun (Mexico) y Kelowna (Canada) en Enero 2022
Kitchener,Canada,2,43.45038,-80.487829,Se realizaron 2 vuelos entre los aeropuertos de Cancun (Mexico) y Kitchener (Canada) en Enero 2022
La Habana,Cuba,76,23.13211,-82.36749,Se realizaron 76 vuelos entre los aeropuertos de Cancun (Mexico) y La Habana (Cuba) en Enero 2022
Las Vegas,United States,28,36.17193,-115.14001,Se realizaron 28 vuelos entre los aeropuertos de Cancun (Mexico) y Las Vegas (United States) en Enero 2022
Lima,Peru,160,-12.04318,-77.02824,Se realizaron 160 vuelos entre los aeropuertos de Cancun (Mexico) y Lima (Peru) en Enero 2022
Lisbon,Portugal,43,38.72633,-9.14951,Se realizaron 43 vuelos entre los aeropuertos de Cancun (Mexico) y Lisbon (Portugal) en Enero 2022
Londres,United Kingdom,95,51.50853,-0.12574,Se realizaron 95 vuelos entre los aeropuertos de Cancun (Mexico) y Londres (United Kingdom) en Enero 2022
Los Angeles,United States,391,34.05357,-118.24545,Se realizaron 391 vuelos entre los aeropuertos de Cancun (Mexico) y Los Angeles (United States) en Enero 2022
Madrid,Spain,54,40.41955,-3.69196,Se realizaron 54 vuelos entre los aeropuertos de Cancun (Mexico) y Madrid (Spain) en Enero 2022
Manchester,United Kingdom,36,53.478956243,-2.245275766,Se realizaron 36 vuelos entre los aeropuertos de Cancun (Mexico) y Manchester (United Kingdom) en Enero 2022
